epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,21124.2,1.13878,0.47126,1.05649,0.98685,0.99142,0.99362,0.62947,0.97943,0.36535,0.82377,0.000494427,0.000494427,0.000494427
66,21448.5,1.1362,0.46773,1.05588,0.98468,0.99057,0.99356,0.63407,0.97251,0.40227,0.82204,0.000486333,0.000486333,0.000486333
67,21772.3,1.14493,0.46893,1.05581,0.98629,0.99106,0.99415,0.63447,0.97534,0.40393,0.82329,0.000478203,0.000478203,0.000478203
68,22096.4,1.12092,0.46583,1.05014,0.98131,0.99121,0.99239,0.63464,0.9708,0.41478,0.82031,0.00047004,0.00047004,0.00047004
69,22420.8,1.12115,0.45499,1.0477,0.98228,0.98968,0.9933,0.6344,0.96938,0.41286,0.82037,0.000461849,0.000461849,0.000461849
70,22745,1.11085,0.45762,1.04406,0.98358,0.99199,0.9934,0.63679,0.96211,0.40017,0.81745,0.000453632,0.000453632,0.000453632
71,23069.2,1.09912,0.45688,1.03641,0.98532,0.99089,0.99334,0.64196,0.9563,0.36692,0.81636,0.000445393,0.000445393,0.000445393
72,23393.4,1.10309,0.45408,1.03925,0.98733,0.99083,0.9938,0.64146,0.9541,0.35651,0.81486,0.000437136,0.000437136,0.000437136
73,23717.8,1.09731,0.45361,1.03667,0.98601,0.99141,0.99367,0.64163,0.95094,0.33495,0.81377,0.000428865,0.000428865,0.000428865
74,24042,1.08709,0.44814,1.03353,0.98678,0.99031,0.99376,0.64482,0.94503,0.33483,0.81285,0.000420583,0.000420583,0.000420583
75,24366.3,1.08064,0.44737,1.02851,0.98583,0.98874,0.99365,0.64628,0.93978,0.33353,0.81124,0.000412293,0.000412293,0.000412293
76,24690.9,1.08002,0.4456,1.03457,0.98729,0.98981,0.99377,0.64747,0.94037,0.34127,0.81047,0.000404,0.000404,0.000404
77,25015.2,1.07014,0.44061,1.02686,0.98716,0.98876,0.9939,0.64796,0.93787,0.33308,0.80919,0.000395707,0.000395707,0.000395707
78,25338.9,1.05492,0.43707,1.02083,0.98912,0.98835,0.99393,0.65049,0.93068,0.33423,0.80762,0.000387417,0.000387417,0.000387417
79,25663.7,1.06009,0.43545,1.02242,0.98944,0.98917,0.99373,0.65013,0.92933,0.35102,0.80747,0.000379135,0.000379135,0.000379135
80,25987.6,1.05046,0.43543,1.01848,0.98883,0.98876,0.99372,0.652,0.92538,0.36035,0.80625,0.000370864,0.000370864,0.000370864
