epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,7733.17,1.3737,0.62937,0.9977,0.97936,0.99002,0.98936,0.61969,1.05624,0.44756,0.78213,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7834.73,1.36213,0.62098,0.99693,0.98077,0.98922,0.98974,0.62128,1.05415,0.45133,0.7813,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7936.4,1.35845,0.61799,0.99112,0.98158,0.98706,0.98992,0.62086,1.05256,0.44611,0.78048,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8038.58,1.35818,0.61721,0.99579,0.98039,0.9875,0.99007,0.62043,1.04903,0.43785,0.78013,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8140.29,1.34359,0.60767,0.98854,0.98024,0.98882,0.99049,0.62315,1.04517,0.43085,0.77967,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8242.76,1.34141,0.60685,0.99196,0.98044,0.99002,0.9907,0.62456,1.04498,0.42822,0.77975,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8344.78,1.33408,0.60573,0.98406,0.98071,0.99053,0.99046,0.62377,1.04464,0.42756,0.77934,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8446.95,1.32598,0.60088,0.98571,0.98048,0.99036,0.99062,0.62333,1.04472,0.42759,0.77897,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8548.86,1.32411,0.595,0.98648,0.9828,0.98761,0.99056,0.62435,1.04283,0.42074,0.77897,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8651.72,1.31381,0.59578,0.98618,0.98223,0.9894,0.99076,0.62599,1.04354,0.41064,0.77916,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8754.43,1.31358,0.59363,0.9833,0.98144,0.98936,0.99086,0.62672,1.04123,0.41292,0.77833,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
