epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,10353.3,1.13205,0.47762,1.05056,0.98313,0.99231,0.99278,0.6376,0.95303,0.34164,0.82061,0.000607916,0.000607916,0.000607916
67,10509.6,1.1254,0.47767,1.05076,0.9864,0.98955,0.99219,0.63835,0.94991,0.35218,0.81993,0.000597754,0.000597754,0.000597754
68,10666.1,1.11784,0.47683,1.04568,0.98265,0.99144,0.99244,0.63648,0.95728,0.34391,0.82159,0.000587551,0.000587551,0.000587551
69,10822.8,1.10886,0.47408,1.04232,0.9832,0.99149,0.99272,0.63752,0.95668,0.34707,0.82093,0.000577311,0.000577311,0.000577311
70,10978.8,1.11196,0.47473,1.03947,0.9845,0.98996,0.99267,0.64128,0.95361,0.34079,0.81876,0.00056704,0.00056704,0.00056704
71,11135.6,1.09919,0.47079,1.03513,0.98386,0.9928,0.9931,0.64199,0.94679,0.33703,0.81555,0.000556742,0.000556742,0.000556742
72,11292.9,1.09453,0.46684,1.03695,0.9866,0.99029,0.99325,0.64495,0.94292,0.33309,0.81401,0.000546421,0.000546421,0.000546421
73,11449.1,1.0935,0.46732,1.03295,0.9885,0.9898,0.99294,0.64318,0.94361,0.33238,0.81514,0.000536081,0.000536081,0.000536081
74,11605.9,1.08529,0.46286,1.03041,0.98749,0.9902,0.9932,0.64342,0.94466,0.33537,0.81574,0.000525728,0.000525728,0.000525728
75,11762.6,1.07679,0.45944,1.0268,0.98634,0.99134,0.99346,0.64598,0.93923,0.33777,0.8137,0.000515366,0.000515366,0.000515366
76,11918.5,1.07265,0.457,1.02576,0.98603,0.99032,0.993,0.64653,0.93567,0.33884,0.81252,0.000505,0.000505,0.000505
77,12075.4,1.06764,0.45584,1.02145,0.9856,0.99003,0.99271,0.64935,0.93152,0.33454,0.8108,0.000494634,0.000494634,0.000494634
78,12232.1,1.06432,0.45584,1.02148,0.98234,0.99245,0.99291,0.6502,0.92917,0.32857,0.81033,0.000484272,0.000484272,0.000484272
79,12388.9,1.05712,0.45204,1.02145,0.98947,0.9873,0.99319,0.65105,0.92264,0.32722,0.80856,0.000473919,0.000473919,0.000473919
80,12545.5,1.04705,0.44892,1.01545,0.98938,0.98741,0.99321,0.65061,0.92202,0.32692,0.80901,0.000463579,0.000463579,0.000463579
81,12701.6,1.04425,0.44756,1.01363,0.98995,0.98746,0.99321,0.65064,0.91898,0.32662,0.8078,0.000453258,0.000453258,0.000453258
82,12859.2,1.03923,0.4502,1.01111,0.98829,0.98737,0.99325,0.65397,0.91583,0.32382,0.80611,0.00044296,0.00044296,0.00044296
83,13016.3,1.03154,0.44513,1.00926,0.98865,0.98807,0.99333,0.65369,0.9173,0.3276,0.80621,0.000432689,0.000432689,0.000432689
84,13172.5,1.03551,0.44623,1.00973,0.98884,0.99005,0.99345,0.6573,0.91411,0.32761,0.80474,0.000422449,0.000422449,0.000422449
85,13328.7,1.0206,0.43821,1.00549,0.98906,0.98895,0.99315,0.65882,0.91375,0.32618,0.80447,0.000412246,0.000412246,0.000412246
86,13485,1.02135,0.43915,1.00233,0.99039,0.99042,0.99394,0.65926,0.90977,0.32394,0.80345,0.000402084,0.000402084,0.000402084
87,13640.9,1.00995,0.4355,0.99846,0.99085,0.98987,0.99395,0.65895,0.90704,0.33002,0.80251,0.000391966,0.000391966,0.000391966
88,13796.9,1.00405,0.436,0.99989,0.9909,0.98993,0.9939,0.65902,0.90484,0.32487,0.8018,0.000381899,0.000381899,0.000381899
89,13953.5,0.9999,0.4338,0.9984,0.99109,0.99053,0.99392,0.66222,0.90264,0.32283,0.8006,0.000371885,0.000371885,0.000371885
90,14109.9,1.00194,0.43247,0.99575,0.99067,0.99045,0.9936,0.66498,0.90055,0.31844,0.79986,0.000361929,0.000361929,0.000361929
91,14266.5,0.99548,0.43254,0.99148,0.99048,0.99026,0.99394,0.66412,0.89785,0.31744,0.7992,0.000352037,0.000352037,0.000352037
